Index,Repository,URL,Stars,Year,Expected_Vuln_Type,Has_HNP_Issue,Total_Findings,File_Path,Line_Number,Problem_Type,Sink_Type,Sink_Function,Exploit_Scenario,Risk_Level,Source_Code,Context,Status
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\HuaweiFG_file.php,71,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\Normal.php,16,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\TencentSCF_env.php,35,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\TencentSCF_env.php,57,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\TencentSCF_file.php,35,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\TencentSCF_file.php,57,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\Vercel.php,16,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
18,minical/minical,https://github.com/minical/minical,217,2021,php_dangerous_url_construction_https (No defense),SKIP,0,,,,,,,,,timeout
19,dedecms/DedeCMS,https://github.com/dedecms/DedeCMS,152,2020,php_dangerous_url_construction_http (No defense),SKIP,0,,,,,,,,,timeout
20,LibreBooking/app,https://github.com/LibreBooking/app,551,2020,php_dangerous_url_construction_server_name (No defense),SKIP,0,,,,,,,,,timeout
