Index,Repository,URL,Stars,Year,Matched Function
137,ectouch/ectouch,https://github.com/ectouch/ectouch,236,2015,php_dangerous_url_construction_server_name (No defense)
138,BevisGoh/7ghost,https://github.com/BevisGoh/7ghost,130,2015,php_dangerous_url_construction_http (No defense)
139,redteamsecuritytraining/PlugBot-Plug,https://github.com/redteamsecuritytraining/PlugBot-Plug,276,2015,php_dangerous_url_construction_server_name (No defense)
140,evangui/sso,https://github.com/evangui/sso,117,2015,php_dangerous_url_construction_http (No defense)
141,Th3-822/rapidleech,https://github.com/Th3-822/rapidleech,595,2015,php_dangerous_url_construction_http (No defense)
142,phpList/phplist3,https://github.com/phpList/phplist3,805,2015,php_dangerous_url_construction_server_name (No defense)
143,impress-org/woocommerce-preview-emails,https://github.com/impress-org/woocommerce-preview-emails,153,2015,php_dangerous_url_construction_server_name (No defense)
144,baijunyao/thinkphp-bjyblog,https://github.com/baijunyao/thinkphp-bjyblog,424,2015,php_dangerous_url_construction_http (No defense)
145,tutorial0/WebShell,https://github.com/tutorial0/WebShell,394,2015,php_dangerous_url_construction_server_name (No defense)
146,BOINC/boinc,https://github.com/BOINC/boinc,2195,2015,php_dangerous_url_construction_http (No defense)
147,arastta/arastta,https://github.com/arastta/arastta,260,2015,php_dangerous_url_construction_http (No defense)
148,Coyote-OSS/coyote,https://github.com/Coyote-OSS/coyote,120,2015,laravel_dangerous_url_construction_https (No defense)
